Model,Win Rate,humaneval-python,java,javascript,cpp
OpenCodeInterpreter-DS-33B,55.83,75.23,54.8,69.06,64.47
Nxcode-CQ-7B-orpo,55.42,87.23,60.91,71.69,68.04
CodeQwen1.5-7B-Chat,55.08,87.2,61.04,70.31,67.85
CodeFuse-DeepSeek-33b,54.33,76.83,60.76,66.46,65.22
DeepSeek-Coder-33b-instruct,52.0,80.02,52.03,65.13,62.36
Artigenz-Coder-DS-6.7B,51.5,70.89,56.84,66.16,59.75
DeepSeek-Coder-7b-instruct,50.33,80.22,53.34,65.8,59.66
OpenCodeInterpreter-DS-6.7B,49.67,73.2,51.41,63.85,60.01
Phind-CodeLlama-34B-v2,49.12,71.95,54.06,65.34,59.59
Phind-CodeLlama-34B-v1,47.92,65.85,49.47,64.45,57.81
Phind-CodeLlama-34B-Python-v1,46.35,70.22,48.72,66.24,55.34
CodeQwen1.5-7B,45.08,50.79,42.15,50.07,48.35
CodeLlama-70b-Instruct,43.58,75.6,47.2,57.76,48.45
WizardCoder-Python-34B-V1.0,43.35,70.73,44.94,55.28,47.2
CodeLlama-70b,43.21,52.44,44.72,56.52,49.69
DeepSeek-Coder-33b-base,42.75,52.45,43.77,51.28,51.22
CodeLlama-70b-Python,42.33,55.49,45.96,56.52,49.69
StarCoder2-15B,39.92,44.15,33.86,44.24,41.44
CodeLlama-34b-Instruct,38.5,50.79,41.53,45.85,41.53
DeepSeek-Coder-7b-base,38.33,45.83,37.72,45.9,45.53
WizardCoder-Python-13B-V1.0,38.19,62.19,41.77,48.45,42.86
CodeLlama-34b,37.65,45.11,40.19,41.66,41.42
CodeLlama-34b-Python,36.81,53.29,39.46,44.72,39.09
CodeLlama-13b,32.12,35.07,32.23,38.26,35.81
CodeLlama-13b-Python,30.04,42.89,33.56,40.66,36.21
CodeLlama-7b-Instruct,28.31,45.65,28.77,33.11,29.03
StarCoder2-7B,28.25,34.09,29.42,35.35,33.63
CodeGemma-7B-it,27.0,52.74,41.42,47.71,42.6
CodeShell-7B,26.77,34.32,30.43,33.17,28.21
CodeLlama-7b,26.69,29.98,29.2,31.8,27.23
OctoCoder-15B,25.15,45.3,26.03,32.8,29.32
CodeLlama-7b-Python,24.92,40.48,29.15,36.34,30.34
StarCoder-15B,24.5,33.57,30.22,30.79,31.55
Falcon-180B,24.2,35.37,28.48,31.68,28.57
StarCoderBase-15B,23.85,30.35,28.53,31.7,30.56
StarCoder2-3B,22.75,31.44,27.41,35.37,27.24
CodeGeex2-6B,20.5,33.49,23.46,29.9,28.45
StarCoderBase-7B,20.0,28.37,24.44,27.35,23.3
OctoGeeX-7B,19.73,42.28,19.33,28.5,23.93
WizardCoder-3B-V1.0,18.5,32.92,24.34,26.16,24.94
CodeGen25-7B-multi,18.04,28.7,26.01,26.27,25.75
CodeGemma-2B,17.5,27.28,24.71,29.94,29.33
Refact-1.6B,17.08,31.1,22.78,22.36,21.12
Stable-code-3b,16.17,30.72,28.75,31.64,29.42
DeepSeek-Coder-1b-base,16.0,32.13,27.16,28.46,27.96
StarCoderBase-3B,13.73,21.5,19.25,21.32,19.43
WizardCoder-1B-V1.0,12.27,23.17,19.68,19.13,15.94
Replit-2.7B,10.31,20.12,21.39,20.18,20.37
CodeGen25-7B-mono,9.92,33.08,19.75,23.22,18.62
StarCoderBase-1.1B,9.88,15.17,14.2,13.38,11.68
CodeGen-16B-Multi,8.77,19.26,22.2,19.15,21.0
StableCode-3B-alpha,7.73,20.2,19.54,18.98,20.77
DeciCoder-1B,7.5,19.32,15.3,17.85,6.87
Phi-1,6.92,51.22,10.76,19.25,14.29
SantaCoder-1.1B,6.12,18.12,15.0,15.47,6.2
