model,Average WER ⬇️,RTFx,AMI,Earnings22,Gigaspeech,LS Clean,LS Other,SPGISpeech,Tedlium,Voxpopuli
nvidia/canary-1b,6.5,235.34,13.9,12.19,10.12,1.48,2.93,2.06,3.56,5.79
nvidia/parakeet-tdt-1.1b,7.01,2390.61,15.87,14.49,9.52,1.4,2.6,3.16,3.59,5.49
nvidia/parakeet-rnnt-1.1b,7.12,2053.15,17.01,13.94,9.89,1.45,2.5,2.93,3.83,5.44
nvidia/parakeet-ctc-1.1b,7.4,2728.52,15.67,13.75,10.28,1.83,3.51,4.02,3.57,6.56
openai/whisper-large-v3,7.44,145.51,15.95,11.29,10.02,2.01,3.91,2.94,3.86,9.54
nvidia/parakeet-tdt_ctc-110m,7.49,5345.14,15.89,12.37,10.52,2.4,5.22,2.54,4.07,6.9
nvidia/parakeet-rnnt-0.6b,7.5,2815.72,17.4,14.66,10.01,1.62,3.02,3.32,3.85,6.08
distil-whisper/distil-large-v3,7.52,214.42,15.16,11.79,10.08,2.54,5.19,3.27,3.86,8.25
nvidia/parakeet-ctc-0.6b,7.69,4281.53,16.46,14.26,10.39,1.88,3.8,3.89,3.77,7.07
openai/whisper-large-v2,7.83,144.45,16.74,12.05,10.67,2.83,5.14,3.87,3.9,7.48
distil-whisper/distil-large-v2,7.92,202.95,14.67,12.19,10.32,2.94,6.84,3.3,4.87,8.24
openai/whisper-large,7.94,143.76,16.73,12.91,10.76,2.73,5.54,3.2,3.91,7.76
distil-whisper/distil-large-v2,7.92,202.95,14.67,12.19,10.32,2.94,6.84,3.3,4.87,8.24
openai/whisper-large,7.94,143.76,16.73,12.91,10.76,2.73,5.54,3.2,3.91,7.76
openai/whisper-medium.en,8.09,182.13,16.68,12.63,11.03,3.02,5.85,3.33,4.12,8.06
nvidia/stt_en_conformer_ctc_large,8.32,4295.01,15.95,15.99,11.6,2.05,4.15,5.57,4.41,6.83
distil-whisper/distil-small.en,8.57,331.89,16.16,13.15,10.87,3.48,7.73,3.82,4.54,8.79
openai/whisper-small.en,8.59,268.91,17.93,12.97,11.35,3.05,7.25,3.6,4.07,8.5
distil-whisper/distil-medium.en,8.77,279.73,16.12,12.99,11.3,3.69,8.35,3.83,4.84,9
nvidia/stt_en_fastconformer_ctc_large,8.96,6399.25,18.61,18.81,12.17,1.93,4.04,5.06,4.76,6.34
nvidia/stt_en_fastconformer_transducer_large,9.06,4097.43,19.09,19.41,12.31,1.8,3.97,4.97,4.46,6.45
stt_en_conformer_transducer_small,10.26,3714.36,20.28,18.13,13.7,2.77,6.47,6.63,6.21,7.87
openai/whisper-base.en,10.32,320.67,21.13,15.09,12.83,4.25,10.35,4.26,4.87,9.76
nvidia/stt_en_conformer_ctc_small,11.16,5686.9,20.43,18.84,14.46,3.59,7.92,7.8,7.16,9.07
openai/whisper-tiny.en,12.81,348.12,24.24,19.12,14.08,5.66,15.45,5.93,5.97,12
speechbrain/asr-wav2vec2-librispeech,14.35,451.18,32.05,28.52,16.92,1.77,3.83,10.39,7.58,13.72
facebook/wav2vec2-large-960h-lv60-self,21.27,509.32,36.77,31.68,23.94,11.13,12.42,17.94,14.88,21.42
facebook/mms-1b-all,22.54,230.79,42.02,31.17,26.44,12.63,15.99,16.95,17.48,17.63
facebook/hubert-xlarge-ls960-ft,22.55,361.32,39.11,36.13,24.74,11.3,12.22,18.58,15.83,22.47
facebook/hubert-large-ls960-ft,22.69,495.86,39.72,35.24,25.01,11.35,12.75,18.86,15.92,22.7
facebook/wav2vec2-large-robust-ft-libri-960h,22.93,503.81,37.75,36.22,25.12,11.84,13.76,19.03,16.46,23.27
facebook/data2vec-audio-large-960h,23.21,470.15,40.51,37.82,24.8,11.4,12.94,18.49,15.86,23.86
facebook/wav2vec2-conformer-rope-large-960h-ft,23.28,607.87,42.47,37.52,25,11.34,12.54,18.87,15.92,22.61
facebook/wav2vec2-conformer-rel-pos-large-960h-ft,23.29,522.46,42.39,38.33,24.96,11.2,12.44,18.85,15.77,22.39
facebook/wav2vec2-large-960h,26.77,516.58,42.66,43.75,27.74,12.81,15.46,22.82,18.85,30.09
facebook/data2vec-audio-base-960h,28.3,648.14,47.27,49.56,29.78,12.13,15.48,25.46,19.49,27.25
facebook/wav2vec2-base-960h,29.4,686,45.56,48.47,30.85,12.53,16.72,27.56,21.05,32.48
facebook/mms-1b-fl102,39.8,234.42,86.78,51.87,42.42,22.07,28.7,26.21,32.35,27.97
